AA;MM;DD;HH;NM;MM;MA;Procedencia
2024;1;6;21;312.5;2.6;309.9;1
2024;1;6;22;349.9;2.6;347.3;1
2024;1;6;23;373;1.5;371.5;1
2024;1;7;0;376.8;0.5;376.3;1
2024;1;7;1;360.8;0.7;360.1;1
2024;1;7;2;326.1;-0.2;326.3;1
2024;1;7;3;283;-0.3;283.3;1
2024;1;7;4;242.3;-0.5;242.8;1
2024;1;7;5;214.3;-1.6;215.9;1
2024;1;7;6;208.5;-0.8;209.3;1
2024;1;7;7;223.8;-0.1;223.9;1
2024;1;7;8;253.9;-1.7;255.6;1
2024;1;7;9;294.8;-1.7;296.5;1
2024;1;7;10;336;-0.9;336.9;1
2024;1;7;11;366.9;-0.6;367.5;1
2024;1;7;12;380.3;-0.6;380.9;1
2024;1;7;13;373.3;0.1;373.2;1
2024;1;7;14;346.5;1.3;345.2;1
2024;1;7;15;304.2;1.8;302.4;1
2024;1;7;16;256.8;1.5;255.3;1
2024;1;7;17;217.2;0.5;216.7;1
2024;1;7;18;195.4;-1.3;196.7;1
2024;1;7;19;197.2;-2.9;200.1;1
2024;1;7;20;222.6;-3.2;225.8;1
2024;1;7;21;265.4;-2.7;268.1;1
2024;1;7;22;315.9;-1.1;317;1
2024;1;7;23;359.3;-1.5;360.8;1
2024;1;8;0;386;-2.4;388.4;1
2024;1;8;1;390.1;-2.7;392.8;1
2024;1;8;2;370.3;-2.1;372.4;1
2024;1;8;3;329.4;-2;331.4;1
2024;1;8;4;278.4;-1.3;279.7;1
2024;1;8;5;230.1;-1.2;231.3;1
2024;1;8;6;197.6;-1.8;199.4;1
2024;1;8;7;189.8;-2.2;192;1
2024;1;8;8;206.4;-3.3;209.7;1
2024;1;8;9;243.9;-3.4;247.3;1
2024;1;8;10;293.1;-2.9;296;1
2024;1;8;11;342.2;-2.1;344.3;1
2024;1;8;12;378.7;-1.9;380.6;1
2024;1;8;13;395.2;-0.9;396.1;1
2024;1;8;14;387.6;1.4;386.2;1
2024;1;8;15;355.2;3.1;352.1;1
2024;1;8;16;304.7;4;300.7;1
2024;1;8;17;249;3.8;245.2;1
2024;1;8;18;203.4;2.5;200.9;1
2024;1;8;19;180.7;0.6;180.1;1
2024;1;8;20;186.5;-1.1;187.6;1
2024;1;8;21;220.5;-0.9;221.4;1
2024;1;8;22;275;1.3;273.7;1
2024;1;8;23;334.7;2.5;332.2;1
2024;1;9;0;385.1;2.7;382.4;1
2024;1;9;1;413.5;1.9;411.6;1
2024;1;9;2;413.8;1.5;412.3;1
2024;1;9;3;385.2;1.3;383.9;1
2024;1;9;4;332.1;0.1;332;1
2024;1;9;5;269.4;0.5;268.9;1
2024;1;9;6;213.2;1.5;211.7;1
2024;1;9;7;177.5;1.2;176.3;1
2024;1;9;8;170.7;-0.4;171.1;1
2024;1;9;9;193.9;-1.9;195.8;1
2024;1;9;10;241.2;-2.1;243.3;1
2024;1;9;11;300.7;-1.9;302.6;1
2024;1;9;12;359.2;-0.6;359.8;1
2024;1;9;13;401.4;0.6;400.8;1
2024;1;9;14;416.6;1.1;415.5;1
